buyer,industry_buy,m_cp
AUT,Textiles and textile products,0
AUT,"Leather, leather products, and footwear",0
AUT,Wood and products of wood and cork,1
AUT,"Pulp, paper, paper products, printing, and publishing",1
AUT,"Coke, refined petroleum, and nuclear fuel",0
AUT,Chemicals and chemical products,0
BAN,"Agriculture, hunting, forestry, and fishing",1
BAN,Rubber and plastics,1
BAN,Other nonmetallic minerals,1
BAN,Basic metals and fabricated metal,0
BAN,"Machinery, nec",0
BAN,Electrical and optical equipment,0
BAN,Transport equipment,0
BAN,"Manufacturing, nec; recycling",1
BAN,"Electricity, gas, and water supply",0
BAN,Construction,1
BAN,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
BAN,Mining and quarrying,0
BAN,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
BAN,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
BAN,Hotels and restaurants,1
BAN,Inland transport,1
BAN,Water transport,0
BAN,Air transport,0
BAN,Other supporting and auxiliary transport activities; activities of travel agencies,0
BAN,Post and telecommunications,0
BAN,Financial intermediation,0
BAN,Real estate activities,0
BAN,"Food, beverages, and tobacco",1
BAN,Renting of M&Eq and other business activities,0
BAN,Public administration and defense; compulsory social security,0
BAN,Education,1
BAN,Health and social work,0
BAN,"Other community, social, and personal services (creative industry)",1
BAN,Private households with employed persons,0
BAN,Textiles and textile products,1
BAN,"Leather, leather products, and footwear",1
BAN,Wood and products of wood and cork,0
BAN,"Pulp, paper, paper products, printing, and publishing",0
BAN,"Coke, refined petroleum, and nuclear fuel",0
BAN,Chemicals and chemical products,0
BEL,"Agriculture, hunting, forestry, and fishing",0
BEL,Rubber and plastics,0
BEL,Other nonmetallic minerals,0
BEL,Basic metals and fabricated metal,0
BEL,"Machinery, nec",0
BEL,Electrical and optical equipment,0
BEL,Transport equipment,0
BEL,"Manufacturing, nec; recycling",0
BEL,"Electricity, gas, and water supply",0
BEL,Construction,1
BEL,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
BEL,Mining and quarrying,0
BEL,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",1
BEL,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
BEL,Hotels and restaurants,0
BEL,Inland transport,0
BEL,Water transport,0
BEL,Air transport,0
BEL,Other supporting and auxiliary transport activities; activities of travel agencies,1
BEL,Post and telecommunications,0
BEL,Financial intermediation,1
BEL,Real estate activities,0
BEL,"Food, beverages, and tobacco",1
BEL,Renting of M&Eq and other business activities,1
BEL,Public administration and defense; compulsory social security,0
BEL,Education,1
BEL,Health and social work,1
BEL,"Other community, social, and personal services (creative industry)",1
BEL,Private households with employed persons,0
BEL,Textiles and textile products,0
BEL,"Leather, leather products, and footwear",0
BEL,Wood and products of wood and cork,0
BEL,"Pulp, paper, paper products, printing, and publishing",0
BEL,"Coke, refined petroleum, and nuclear fuel",1
BEL,Chemicals and chemical products,1
BGR,"Agriculture, hunting, forestry, and fishing",0
BGR,Rubber and plastics,1
BGR,Other nonmetallic minerals,1
BGR,Basic metals and fabricated metal,1
BGR,"Machinery, nec",0
BGR,Electrical and optical equipment,0
BGR,Transport equipment,0
BGR,"Manufacturing, nec; recycling",1
BGR,"Electricity, gas, and water supply",1
BGR,Construction,0
BGR,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
BGR,Mining and quarrying,0
BGR,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",1
BGR,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
BGR,Hotels and restaurants,0
BGR,Inland transport,1
BGR,Water transport,0
BGR,Air transport,0
BGR,Other supporting and auxiliary transport activities; activities of travel agencies,1
BGR,Post and telecommunications,1
BGR,Financial intermediation,0
BGR,Real estate activities,0
BGR,"Food, beverages, and tobacco",1
BGR,Renting of M&Eq and other business activities,1
BGR,Public administration and defense; compulsory social security,0
BGR,Education,1
BGR,Health and social work,0
BGR,"Other community, social, and personal services (creative industry)",1
BGR,Private households with employed persons,0
BGR,Textiles and textile products,0
BGR,"Leather, leather products, and footwear",0
BGR,Wood and products of wood and cork,0
BGR,"Pulp, paper, paper products, printing, and publishing",0
BGR,"Coke, refined petroleum, and nuclear fuel",1
BGR,Chemicals and chemical products,0
BHU,"Agriculture, hunting, forestry, and fishing",1
BHU,Rubber and plastics,0
BHU,Other nonmetallic minerals,1
BHU,Basic metals and fabricated metal,0
BHU,"Machinery, nec",0
BHU,Electrical and optical equipment,0
BHU,Transport equipment,0
BHU,"Manufacturing, nec; recycling",0
BHU,"Electricity, gas, and water supply",1
BHU,Construction,1
BHU,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",0
BHU,Mining and quarrying,1
BHU,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
BHU,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
BHU,Hotels and restaurants,0
BHU,Inland transport,1
BHU,Water transport,0
BHU,Air transport,1
BHU,Other supporting and auxiliary transport activities; activities of travel agencies,0
BHU,Post and telecommunications,1
BHU,Financial intermediation,0
BHU,Real estate activities,0
BHU,"Food, beverages, and tobacco",0
BHU,Renting of M&Eq and other business activities,0
BHU,Public administration and defense; compulsory social security,1
BHU,Education,1
BHU,Health and social work,0
BHU,"Other community, social, and personal services (creative industry)",0
BHU,Private households with employed persons,0
BHU,Textiles and textile products,0
BHU,"Leather, leather products, and footwear",0
BHU,Wood and products of wood and cork,0
BHU,"Pulp, paper, paper products, printing, and publishing",0
BHU,"Coke, refined petroleum, and nuclear fuel",0
BHU,Chemicals and chemical products,0
BRA,"Agriculture, hunting, forestry, and fishing",1
BRA,Rubber and plastics,1
BRA,Other nonmetallic minerals,0
BRA,Basic metals and fabricated metal,0
BRA,"Machinery, nec",0
BRA,Electrical and optical equipment,0
BRA,Transport equipment,0
BRA,"Manufacturing, nec; recycling",1
BRA,"Electricity, gas, and water supply",0
BRA,Construction,0
BRA,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
BRA,Mining and quarrying,1
BRA,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
BRA,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
BRA,Hotels and restaurants,1
BRA,Inland transport,1
BRA,Water transport,0
BRA,Air transport,0
BRA,Other supporting and auxiliary transport activities; activities of travel agencies,0
BRA,Post and telecommunications,1
BRA,Financial intermediation,0
BRA,Real estate activities,0
BRA,"Food, beverages, and tobacco",1
BRA,Renting of M&Eq and other business activities,1
BRA,Public administration and defense; compulsory social security,0
BRA,Education,1
BRA,Health and social work,0
BRA,"Other community, social, and personal services (creative industry)",0
BRA,Private households with employed persons,1
BRA,Textiles and textile products,1
BRA,"Leather, leather products, and footwear",1
BRA,Wood and products of wood and cork,0
BRA,"Pulp, paper, paper products, printing, and publishing",1
BRA,"Coke, refined petroleum, and nuclear fuel",1
BRA,Chemicals and chemical products,1
BRU,"Agriculture, hunting, forestry, and fishing",0
BRU,Rubber and plastics,0
BRU,Other nonmetallic minerals,0
BRU,Basic metals and fabricated metal,0
BRU,"Machinery, nec",0
BRU,Electrical and optical equipment,0
BRU,Transport equipment,0
BRU,"Manufacturing, nec; recycling",0
BRU,"Electricity, gas, and water supply",0
BRU,Construction,0
BRU,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",0
BRU,Mining and quarrying,1
BRU,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
BRU,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
BRU,Hotels and restaurants,0
BRU,Inland transport,0
BRU,Water transport,1
BRU,Air transport,1
BRU,Other supporting and auxiliary transport activities; activities of travel agencies,0
BRU,Post and telecommunications,1
BRU,Financial intermediation,0
BRU,Real estate activities,0
BRU,"Food, beverages, and tobacco",0
BRU,Renting of M&Eq and other business activities,0
BRU,Public administration and defense; compulsory social security,1
BRU,Education,1
BRU,Health and social work,0
BRU,"Other community, social, and personal services (creative industry)",0
BRU,Private households with employed persons,0
BRU,Textiles and textile products,0
BRU,"Leather, leather products, and footwear",0
BRU,Wood and products of wood and cork,0
BRU,"Pulp, paper, paper products, printing, and publishing",0
BRU,"Coke, refined petroleum, and nuclear fuel",1
BRU,Chemicals and chemical products,0
CAM,"Agriculture, hunting, forestry, and fishing",1
CAM,Rubber and plastics,1
CAM,Other nonmetallic minerals,0
CAM,Basic metals and fabricated metal,1
CAM,"Machinery, nec",0
CAM,Electrical and optical equipment,0
CAM,Transport equipment,0
CAM,"Manufacturing, nec; recycling",0
CAM,"Electricity, gas, and water supply",1
CAM,Construction,1
CAM,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",0
CAM,Mining and quarrying,0
CAM,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",1
CAM,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
CAM,Hotels and restaurants,1
CAM,Inland transport,1
CAM,Water transport,0
CAM,Air transport,0
CAM,Other supporting and auxiliary transport activities; activities of travel agencies,0
CAM,Post and telecommunications,1
CAM,Financial intermediation,0
CAM,Real estate activities,0
CAM,"Food, beverages, and tobacco",1
CAM,Renting of M&Eq and other business activities,0
CAM,Public administration and defense; compulsory social security,0
CAM,Education,0
CAM,Health and social work,0
CAM,"Other community, social, and personal services (creative industry)",0
CAM,Private households with employed persons,0
CAM,Textiles and textile products,1
CAM,"Leather, leather products, and footwear",0
CAM,Wood and products of wood and cork,1
CAM,"Pulp, paper, paper products, printing, and publishing",1
CAM,"Coke, refined petroleum, and nuclear fuel",0
CAM,Chemicals and chemical products,0
CAN,"Agriculture, hunting, forestry, and fishing",0
CAN,Rubber and plastics,0
CAN,Other nonmetallic minerals,0
CAN,Basic metals and fabricated metal,0
CAN,"Machinery, nec",0
CAN,Electrical and optical equipment,0
CAN,Transport equipment,0
CAN,"Manufacturing, nec; recycling",0
CAN,"Electricity, gas, and water supply",0
CAN,Construction,1
CAN,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
CAN,Mining and quarrying,1
CAN,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
CAN,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
CAN,Hotels and restaurants,0
CAN,Inland transport,1
CAN,Water transport,0
CAN,Air transport,1
CAN,Other supporting and auxiliary transport activities; activities of travel agencies,0
CAN,Post and telecommunications,1
CAN,Financial intermediation,1
CAN,Real estate activities,1
CAN,"Food, beverages, and tobacco",0
CAN,Renting of M&Eq and other business activities,0
CAN,Public administration and defense; compulsory social security,1
CAN,Education,1
CAN,Health and social work,1
CAN,"Other community, social, and personal services (creative industry)",0
CAN,Private households with employed persons,0
CAN,Textiles and textile products,0
CAN,"Leather, leather products, and footwear",0
CAN,Wood and products of wood and cork,1
CAN,"Pulp, paper, paper products, printing, and publishing",0
CAN,"Coke, refined petroleum, and nuclear fuel",1
CAN,Chemicals and chemical products,0
COL,"Agriculture, hunting, forestry, and fishing",1
COL,Rubber and plastics,0
COL,Other nonmetallic minerals,0
COL,Basic metals and fabricated metal,0
COL,"Machinery, nec",0
COL,Electrical and optical equipment,0
COL,Transport equipment,0
COL,"Manufacturing, nec; recycling",0
COL,"Electricity, gas, and water supply",1
COL,Construction,0
COL,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
COL,Mining and quarrying,1
COL,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",1
COL,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
COL,Hotels and restaurants,1
COL,Inland transport,1
COL,Water transport,0
COL,Air transport,1
COL,Other supporting and auxiliary transport activities; activities of travel agencies,0
COL,Post and telecommunications,0
COL,Financial intermediation,0
COL,Real estate activities,0
COL,"Food, beverages, and tobacco",1
COL,Renting of M&Eq and other business activities,0
COL,Public administration and defense; compulsory social security,1
COL,Education,1
COL,Health and social work,1
COL,"Other community, social, and personal services (creative industry)",1
COL,Private households with employed persons,1
COL,Textiles and textile products,0
COL,"Leather, leather products, and footwear",0
COL,Wood and products of wood and cork,0
COL,"Pulp, paper, paper products, printing, and publishing",1
COL,"Coke, refined petroleum, and nuclear fuel",1
COL,Chemicals and chemical products,0
CYP,"Agriculture, hunting, forestry, and fishing",0
CYP,Rubber and plastics,0
CYP,Other nonmetallic minerals,0
CYP,Basic metals and fabricated metal,0
CYP,"Machinery, nec",0
CYP,Electrical and optical equipment,0
CYP,Transport equipment,0
CYP,"Manufacturing, nec; recycling",0
CYP,"Electricity, gas, and water supply",0
CYP,Construction,1
CYP,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",0
CYP,Mining and quarrying,0
CYP,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
CYP,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
CYP,Hotels and restaurants,1
CYP,Inland transport,0
CYP,Water transport,1
CYP,Air transport,0
CYP,Other supporting and auxiliary transport activities; activities of travel agencies,1
CYP,Post and telecommunications,0
CYP,Financial intermediation,1
CYP,Real estate activities,0
CYP,"Food, beverages, and tobacco",0
CYP,Renting of M&Eq and other business activities,1
CYP,Public administration and defense; compulsory social security,0
CYP,Education,1
CYP,Health and social work,0
CYP,"Other community, social, and personal services (creative industry)",0
CYP,Private households with employed persons,1
CYP,Textiles and textile products,0
CYP,"Leather, leather products, and footwear",0
CYP,Wood and products of wood and cork,0
CYP,"Pulp, paper, paper products, printing, and publishing",1
CYP,"Coke, refined petroleum, and nuclear fuel",0
CYP,Chemicals and chemical products,0
CZE,"Agriculture, hunting, forestry, and fishing",0
CZE,Rubber and plastics,1
CZE,Other nonmetallic minerals,1
CZE,Basic metals and fabricated metal,1
CZE,"Machinery, nec",1
CZE,Electrical and optical equipment,1
CZE,Transport equipment,1
CZE,"Manufacturing, nec; recycling",0
CZE,"Electricity, gas, and water supply",1
CZE,Construction,0
CZE,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
CZE,Mining and quarrying,0
CZE,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
CZE,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
CZE,Hotels and restaurants,0
CZE,Inland transport,1
CZE,Water transport,0
CZE,Air transport,0
CZE,Other supporting and auxiliary transport activities; activities of travel agencies,1
CZE,Post and telecommunications,1
CZE,Financial intermediation,0
CZE,Real estate activities,1
CZE,"Food, beverages, and tobacco",0
CZE,Renting of M&Eq and other business activities,0
CZE,Public administration and defense; compulsory social security,0
CZE,Education,1
CZE,Health and social work,0
CZE,"Other community, social, and personal services (creative industry)",0
CZE,Private households with employed persons,0
CZE,Textiles and textile products,0
CZE,"Leather, leather products, and footwear",0
CZE,Wood and products of wood and cork,1
CZE,"Pulp, paper, paper products, printing, and publishing",0
CZE,"Coke, refined petroleum, and nuclear fuel",0
CZE,Chemicals and chemical products,0
DEN,"Agriculture, hunting, forestry, and fishing",0
DEN,Rubber and plastics,0
DEN,Other nonmetallic minerals,0
DEN,Basic metals and fabricated metal,0
DEN,"Machinery, nec",1
DEN,Electrical and optical equipment,0
DEN,Transport equipment,0
DEN,"Manufacturing, nec; recycling",1
DEN,"Electricity, gas, and water supply",0
DEN,Construction,0
DEN,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
DEN,Mining and quarrying,0
DEN,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",1
DEN,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
DEN,Hotels and restaurants,0
DEN,Inland transport,0
DEN,Water transport,1
DEN,Air transport,0
DEN,Other supporting and auxiliary transport activities; activities of travel agencies,1
DEN,Post and telecommunications,0
DEN,Financial intermediation,0
DEN,Real estate activities,1
DEN,"Food, beverages, and tobacco",0
DEN,Renting of M&Eq and other business activities,1
DEN,Public administration and defense; compulsory social security,0
DEN,Education,1
DEN,Health and social work,1
DEN,"Other community, social, and personal services (creative industry)",1
DEN,Private households with employed persons,1
DEN,Textiles and textile products,0
DEN,"Leather, leather products, and footwear",0
DEN,Wood and products of wood and cork,0
DEN,"Pulp, paper, paper products, printing, and publishing",1
DEN,"Coke, refined petroleum, and nuclear fuel",0
DEN,Chemicals and chemical products,1
ECU,"Agriculture, hunting, forestry, and fishing",1
ECU,Rubber and plastics,0
ECU,Other nonmetallic minerals,0
ECU,Basic metals and fabricated metal,0
ECU,"Machinery, nec",0
ECU,Electrical and optical equipment,0
ECU,Transport equipment,0
ECU,"Manufacturing, nec; recycling",1
ECU,"Electricity, gas, and water supply",0
ECU,Construction,1
ECU,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
ECU,Mining and quarrying,1
ECU,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
ECU,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
ECU,Hotels and restaurants,1
ECU,Inland transport,1
ECU,Water transport,1
ECU,Air transport,0
ECU,Other supporting and auxiliary transport activities; activities of travel agencies,1
ECU,Post and telecommunications,0
ECU,Financial intermediation,0
ECU,Real estate activities,0
ECU,"Food, beverages, and tobacco",1
ECU,Renting of M&Eq and other business activities,0
ECU,Public administration and defense; compulsory social security,0
ECU,Education,1
ECU,Health and social work,1
ECU,"Other community, social, and personal services (creative industry)",0
ECU,Private households with employed persons,1
ECU,Textiles and textile products,0
ECU,"Leather, leather products, and footwear",0
ECU,Wood and products of wood and cork,1
ECU,"Pulp, paper, paper products, printing, and publishing",0
ECU,"Coke, refined petroleum, and nuclear fuel",1
ECU,Chemicals and chemical products,0
EGY,"Agriculture, hunting, forestry, and fishing",1
EGY,Rubber and plastics,1
EGY,Other nonmetallic minerals,1
EGY,Basic metals and fabricated metal,0
EGY,"Machinery, nec",0
EGY,Electrical and optical equipment,0
EGY,Transport equipment,0
EGY,"Manufacturing, nec; recycling",1
EGY,"Electricity, gas, and water supply",0
EGY,Construction,1
EGY,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
EGY,Mining and quarrying,1
EGY,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
EGY,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
EGY,Hotels and restaurants,1
EGY,Inland transport,0
EGY,Water transport,1
EGY,Air transport,0
EGY,Other supporting and auxiliary transport activities; activities of travel agencies,0
EGY,Post and telecommunications,1
EGY,Financial intermediation,0
EGY,Real estate activities,0
EGY,"Food, beverages, and tobacco",1
EGY,Renting of M&Eq and other business activities,0
EGY,Public administration and defense; compulsory social security,0
EGY,Education,1
EGY,Health and social work,0
EGY,"Other community, social, and personal services (creative industry)",0
EGY,Private households with employed persons,0
EGY,Textiles and textile products,1
EGY,"Leather, leather products, and footwear",0
EGY,Wood and products of wood and cork,0
EGY,"Pulp, paper, paper products, printing, and publishing",0
EGY,"Coke, refined petroleum, and nuclear fuel",1
EGY,Chemicals and chemical products,0
EST,"Agriculture, hunting, forestry, and fishing",1
EST,Rubber and plastics,0
EST,Other nonmetallic minerals,0
EST,Basic metals and fabricated metal,0
EST,"Machinery, nec",0
EST,Electrical and optical equipment,0
EST,Transport equipment,0
EST,"Manufacturing, nec; recycling",1
EST,"Electricity, gas, and water supply",1
EST,Construction,0
EST,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
EST,Mining and quarrying,0
EST,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
EST,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
EST,Hotels and restaurants,0
EST,Inland transport,1
EST,Water transport,1
EST,Air transport,1
EST,Other supporting and auxiliary transport activities; activities of travel agencies,1
EST,Post and telecommunications,0
EST,Financial intermediation,0
EST,Real estate activities,1
EST,"Food, beverages, and tobacco",0
EST,Renting of M&Eq and other business activities,1
EST,Public administration and defense; compulsory social security,0
EST,Education,1
EST,Health and social work,0
EST,"Other community, social, and personal services (creative industry)",1
EST,Private households with employed persons,0
EST,Textiles and textile products,0
EST,"Leather, leather products, and footwear",0
EST,Wood and products of wood and cork,1
EST,"Pulp, paper, paper products, printing, and publishing",0
EST,"Coke, refined petroleum, and nuclear fuel",0
EST,Chemicals and chemical products,0
FIJ,"Agriculture, hunting, forestry, and fishing",1
FIJ,Rubber and plastics,0
FIJ,Other nonmetallic minerals,0
FIJ,Basic metals and fabricated metal,0
FIJ,"Machinery, nec",0
FIJ,Electrical and optical equipment,0
FIJ,Transport equipment,0
FIJ,"Manufacturing, nec; recycling",0
FIJ,"Electricity, gas, and water supply",0
FIJ,Construction,0
FIJ,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
FIJ,Mining and quarrying,0
FIJ,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
FIJ,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",1
FIJ,Hotels and restaurants,1
FIJ,Inland transport,0
FIJ,Water transport,1
FIJ,Air transport,1
FIJ,Other supporting and auxiliary transport activities; activities of travel agencies,1
FIJ,Post and telecommunications,1
FIJ,Financial intermediation,1
FIJ,Real estate activities,0
FIJ,"Food, beverages, and tobacco",1
FIJ,Renting of M&Eq and other business activities,0
FIJ,Public administration and defense; compulsory social security,1
FIJ,Education,1
FIJ,Health and social work,0
FIJ,"Other community, social, and personal services (creative industry)",0
FIJ,Private households with employed persons,0
FIJ,Textiles and textile products,0
FIJ,"Leather, leather products, and footwear",0
FIJ,Wood and products of wood and cork,1
FIJ,"Pulp, paper, paper products, printing, and publishing",0
FIJ,"Coke, refined petroleum, and nuclear fuel",0
FIJ,Chemicals and chemical products,0
FIN,"Agriculture, hunting, forestry, and fishing",0
FIN,Rubber and plastics,0
FIN,Other nonmetallic minerals,0
FIN,Basic metals and fabricated metal,1
FIN,"Machinery, nec",1
FIN,Electrical and optical equipment,1
FIN,Transport equipment,0
FIN,"Manufacturing, nec; recycling",0
FIN,"Electricity, gas, and water supply",0
FIN,Construction,0
FIN,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",1
FIN,Mining and quarrying,0
FIN,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",0
FIN,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",0
FIN,Hotels and restaurants,0
FIN,Inland transport,0
FIN,Water transport,1
FIN,Air transport,1
FIN,Other supporting and auxiliary transport activities; activities of travel agencies,1
FIN,Post and telecommunications,0
FIN,Financial intermediation,0
FIN,Real estate activities,1
FIN,"Food, beverages, and tobacco",0
FIN,Renting of M&Eq and other business activities,1
FIN,Public administration and defense; compulsory social security,0
FIN,Education,1
FIN,Health and social work,1
FIN,"Other community, social, and personal services (creative industry)",1
FIN,Private households with employed persons,0
FIN,Textiles and textile products,0
FIN,"Leather, leather products, and footwear",0
FIN,Wood and products of wood and cork,1
